id,title,overview,rating,release_date,genres,poster_path
1392469,Cocktail 2,"After a decade together, Diya and Kunal's relationship is shaken when Ally, an old friend, re-enters their lives. What begins as a plan between two women spirals into chaos, triggering hilarious, emotional rollercoaster none of them saw coming.",5.7,2026-06-19,"['Romance', 'Comedy']",/sJB5guRMyS6jLo0cLsY8cYBAjzQ.jpg
1339713,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",7.9,2026-05-13,"['Horror', 'Thriller']",/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg
28322,Madness,"An escaped convicted murderer invades the cottage of a man, his wife and the wife's sister, whereupon he proceeds to torment this already dysfunctional trio with rape and violence.",5.121,1980-03-20,"['Thriller', 'Action', 'Crime']",/gV0J0Fqw2mYMtQbzb0ruxv9MAeZ.jpg
936075,Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",8.7,2026-04-22,"['Music', 'Drama']",/zm0KAbOjlt9eR5y7vDiL2dEOwMl.jpg
931285,Mortal Kombat II,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",8.0,2026-05-06,"['Action', 'Fantasy', 'Adventure']",/hwRdDFIhaEmpRgoki805YvyyjZf.jpg
1084244,Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",7.419,2026-06-17,"['Animation', 'Family', 'Comedy', 'Adventure']",/a6H2U7pjibMia41TwyFVd1PVQw3.jpg
1239134,Bhooth Bangla,"A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past.",5.4,2026-04-16,"['Horror', 'Comedy']",/ArIS4vwUxdhm3j7tsTHmffdfU8W.jpg
1523145,Your Heart Will Be Broken,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",7.0,2026-03-26,['Romance'],/7wIBfBl2gejt6xHxNSK0reVIm7E.jpg
1226293,Salitan,A suspicious wife follows her husband in Bali. She meets a dashing man who captures her heart. She soon wants her husband to really have an affair to alleviate the guilt she is feeling.,4.4,2024-02-16,"['Drama', 'Romance']",/rMgG7cWuq9O6zhhLs2CbqIKVA8V.jpg
1367220,Karuppu,"In a world where justice falters, guardian deity Vettai Karuppu takes the guise of a lawyer to battle a corrupt legal system preying on the powerless.",6.7,2026-05-14,"['Action', 'Fantasy']",/ky3KDMdvaeApRVL03kpfYHXzXqd.jpg
1477317,Your Fault: London,"Nick and Noah are both embarking on life-changing adventures that are threatening to pull them apart—Nick in business with his father and Noah starting a fresh chapter at Oxford University. Now living separate lives, and meeting new people, they find themselves entangled in temptations, rivalries, and betrayals and their bond is tested like never before. As secrets unravel and temptation rises, they must fight to hold onto each other—or risk losing everything.",7.51,2026-06-17,"['Romance', 'Drama']",/nLxu237EJAisFCYKK48hN9Plobx.jpg
11012,Damage,The life of a respected British politician at the height of his career crumbles when he becomes obsessed with his son's lover.,6.577,1992-12-02,"['Drama', 'Romance']",/alf3JOPP7EYP0iO24gwe5YfRnqo.jpg
1228710,The Mandalorian and Grogu,"The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",6.731,2026-05-20,"['Action', 'Adventure', 'Science Fiction']",/5Vi8dSauVwH1HOsiZceDMbRr1Ca.jpg
1226863,The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",8.222,2026-04-01,"['Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg
1057265,Peddi,"In 1980s rural Andhra Pradesh, a spirited villager unites his community through sports to defend their pride against a powerful rivals.",6.1,2026-06-03,"['Action', 'Drama']",/kJAJNNBYlbqAcpTDxBNnaILSMTy.jpg
1275779,Disclosure Day,"A cybersecurity expert becomes a whistleblower after uncovering secrets about aliens, putting him on the run from a corporation. Meanwhile, a meteorologist experiencing strange phenomena joins forces with him to prove there's life beyond our understanding.",6.7,2026-06-10,"['Science Fiction', 'Thriller']",/3o5YPjDGDTcTDL5ftDA9NwN9dLd.jpg
1127384,Deep Water,A group of international passengers on a flight from Los Angeles to Shanghai is forced to make an emergency landing in shark-infested waters. The terrified group is forced to work together and overcome their differences if they hope to escape their sinking plane and the frenzy of sharks drawn to the wreckage.,6.115,2026-04-30,"['Thriller', 'Horror']",/kjcuS7xaRyqRjVaVcH4t0qHshuX.jpg
1280738,The Furious,"After Wang Wei's daughter is kidnapped by a criminal network and he receives no help from the corrupt police, Wei sets out to find her himself. His only ally is Navin, a relentless journalist whose wife has mysteriously disappeared. Fueled by a furious vengeance, the unlikely duo ruthlessly battle the kidnappers in this explosive martial arts showdown.",7.642,2026-06-10,"['Action', 'Crime']",/zP19YO60jwEsfKd5Qf1UvA5uJu8.jpg
1103473,KD – The Devil,"In the early 1970s, a petty criminal Kaali unwittingly involves himself with underworld thugs, catalyzing events beyond his control.",7.5,2026-04-30,"['History', 'Crime', 'Action', 'Fantasy']",/nEuEMJrnLBneE9tJlmzbhCFLu95.jpg
1007757,Swapped,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",8.966,2026-05-01,"['Adventure', 'Animation', 'Family', 'Fantasy']",/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg
1007757,Swapped,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",8.967,2026-05-01,"['Adventure', 'Animation', 'Family', 'Fantasy']",/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg
1308553,Hai Jawani Toh Ishq Hona Hai,"When Jass leaves his marriage over conflicting priorities, a new romance abroad is upended by shocking revelations, forcing him to confront love, loyalty, and the true meaning of commitment.",5.5,2026-06-04,"['Romance', 'Comedy']",/vmlJvz6qVzYgei2V74GvnmcuQfW.jpg
1304313,Lee Cronin's The Mummy,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",8.025,2026-04-15,"['Horror', 'Mystery']",/1q308iixueCU4pFtSYugNOevtNx.jpg
976912,Graphic Desires,"When reclusive Franklin cheats on his partner with a mysterious girl he meets on a dating app, it becomes the start of a deadly obsession.",7.01,2023-08-31,"['Thriller', 'Crime']",/3BjLdTWRiHc1ISIZMFvToOmghOM.jpg
687163,Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",8.7,2026-03-15,"['Science Fiction', 'Adventure']",/yihdXomYb5kTeSivtFndMy5iDmf.jpg
862,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",8.0,1995-11-22,"['Family', 'Comedy', 'Animation', 'Adventure']",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
1439930,The Punisher: One Last Kill,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",8.343,2026-05-12,"['Action', 'Drama', 'Crime']",/qQclTgLMDvGBuUBFGHRipxkEwWR.jpg
1431068,Main Vaapas Aaunga,"An elderly man remains haunted by a childhood romance and memories of love lost during the 1947 Partition of India. As he shares his story with his grandson, the past unfolds through memories of migration, longing, and a love that endures across generations.",5.8,2026-06-10,"['Romance', 'Drama']",/8n7OeeyAqwmGS81Is2c6Ho65tgW.jpg
1451344,Husbands in Action,A detective teams up with his ex-wife's new husband to chase down her kidnappers. Can this unlikely duo put aside their differences for one wild rescue?,7.743,2026-06-18,"['Comedy', 'Action']",/rdmXkKPjGw43u4wp3aod4aIPiH.jpg
454639,Masters of the Universe,"After being separated for 15 years, the Sword of Power leads Prince Adam back to Eternia, where he discovers his home shattered under the fiendish rule of Skeletor. To save his family and his world, Adam must join forces with his closest allies, Teela and Duncan/Man-At-Arms, and embrace his true destiny as He-Man — the most powerful man in the universe.",7.257,2026-06-03,"['Action', 'Fantasy', 'Science Fiction']",/3YMd9Ogae4rDKLWuAZFuse9xhc5.jpg
1122573,In the Grey,"A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back—an impossible heist that erupts into a deadly game of strategy, deception and survival.",6.6,2026-05-13,"['Action', 'Thriller']",/dQgIcW6Th08kMRf2HBoYWoFE6OD.jpg
1582770,Dhurandhar: The Revenge,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.",7.3,2026-03-18,"['Action', 'Crime', 'Thriller']",/ptTwQES14pr5c3aZvJg56YlYgb1.jpg
1083381,Backrooms,A strange doorway appears in the basement of a furniture showroom.,6.873,2026-05-27,"['Horror', 'Mystery', 'Science Fiction']",/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg
1327819,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",8.195,2026-03-04,"['Adventure', 'Animation', 'Comedy', 'Family', 'Science Fiction']",/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",7.721,2025-07-18,"['Animation', 'Action', 'Fantasy']",/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg
301528,Toy Story 4,"Woody has always been confident about his place in the world, devoted to taking care of his kid—whether that's Andy or Bonnie. But after Bonnie creates a reluctant new toy called ""Forky"", a road trip adventure alongside old and new friends challenges everything Woody believes about loyalty, purpose, and what it truly means to be a toy.",7.46,2019-06-19,"['Family', 'Comedy', 'Animation', 'Adventure']",/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg
83533,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",7.6,2025-12-17,"['Science Fiction', 'Adventure', 'Fantasy']",/bRBeSHfGHwkEpImlhxPmOcUsaeg.jpg
1380291,Tom Clancy's Jack Ryan: Ghost War,"Jack Ryan is reluctantly pulled back into espionage when an international covert mission unravels a deadly conspiracy. Racing against time, he joins CIA allies Mike November & James Greer and sharp MI6 officer Emma Marlowe to battle a rogue black-ops unit in a high-stakes, deeply personal fight.",7.0,2026-05-20,"['Action', 'Thriller']",/8ehYxUh5MWE41AeE9gkHE8DKzvB.jpg
1419406,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,7.797,2025-08-16,"['Action', 'Crime', 'Drama', 'Thriller']",/cHKo3m8N1fwvEy2ZEr0xGmmMODV.jpg
1227241,Maa Inti Bangaram,"Through both her moments of fear and bravery, a woman discovers that embracing her vulnerabilities is as vital to her inner strength as facing challenges head-on.",6.333,2026-06-18,"['Action', 'Thriller', 'Drama']",/n7X5JZLzqzUxwdn9Mwx9cegEnBv.jpg
912378,Dridam,"A police officer arrives at a seemingly peaceful station but faces pressure when human remains are discovered. Given only a week to solve the murder, he must navigate demands from his department and an anxious public seeking swift justice.",5.0,2026-05-08,"['Crime', 'Thriller']",/9JqWaizfeplMDEZGuJAZZUO4Xtp.jpg
1694978,Chum,"A newlywed couple joins friends on a Mediterranean yacht excursion, only to find themselves caught between a predatory shark and a psychopathic killer in their midst-transforming a sun-drenched escape into a fight for survival.",4.8,2026-05-27,['Horror'],/uJOW6pWxJ0i5sji9VXRR6Y1wXyE.jpg
969681,Spider-Man: Brand New Day,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,0.0,2026-07-29,"['Science Fiction', 'Action', 'Adventure']",/yyB2VJEW3an2xCdcYCPQhn9QERR.jpg
1522126,1000 Men and Me: The Bonnie Blue Story,"Adult content creator Bonnie Blue announced that she’d slept with 1057 men in 12 hours. Exploring the polarising debate around Bonnie and the pornification of our society, the film follows her over the most eye-opening six months of her life.",5.2,2025-07-29,"['Documentary', 'TV Movie']",/5dcgoyf8nt6Xt4VSR6Nrn6nwhuz.jpg
1318413,Pressure,"In the tense 72 hours before D-Day, and the fate of the free world hanging in the balance, General Dwight D. Eisenhower and Captain James Stagg face an impossible choice—launch the largest and most dangerous seaborne invasion in history or risk losing the war altogether.",7.553,2026-05-25,"['Thriller', 'History', 'War']",/gFjEggtrejCN79r6SXRjM269OtG.jpg
1227241,Maa Inti Bangaram,"Through both her moments of fear and bravery, a woman discovers that embracing her vulnerabilities is as vital to her inner strength as facing challenges head-on.",8.5,2026-06-18,"['Action', 'Thriller', 'Drama']",/n7X5JZLzqzUxwdn9Mwx9cegEnBv.jpg
1241752,Rita,"Rita, who finds herself alone when husband Ariel works abroad. They both find solace and sexual satisfaction in other people. When Ariel comes back, they both act like nothing happened. But will this keep their marriage from falling apart?",6.0,2024-03-22,['Drama'],/pXENxAzOBrTSDJGxDcUnlNTNmWr.jpg
1486860,Haunted 3D: Echoes of the Past,"A man seeks refuge in a remote Indian mountain mansion, fleeing his past. He discovers the house harbors sinister secrets, pain, and terror ready to torment him.",10.0,2026-06-12,"['Horror', 'Romance', 'Thriller']",/tSmAFNckiqcKg7aFgjCFnhNqNbP.jpg
1430077,Hokum,"When novelist Ohm Bauman retreats to a remote inn to scatter his parents' ashes, he is consumed by tales of a witch haunting the honeymoon suite. Disturbing visions and a shocking disappearance forces him to confront dark corners of his past.",6.979,2026-04-29,['Horror'],/jKPWwsbAM6HKURPYQ1eG8DmKMKn.jpg
1288341,Seven Snipers,"When a former elite sniper is hunted down by the ruthless warlord who once held her captive, she must fight to the death to protect the daughter she has raised in hiding, on a remote Australian farm.",5.724,2026-04-30,"['Action', 'Thriller']",/xIZ8huVdXCL7OMtsjd3XvmFP5sK.jpg
424711,Poppea's Hot Nights,Poppea's Hot Nights (Italian: Le calde notti di Poppea) is a 1969 Italian comedy film set in Ancient Rome. It was written and directed by Guido Malatesta and stars Olga Schoberová (credited as Olinka Berova) and Brad Harris in the main roles.,4.7,1969-01-01,['Comedy'],/g1kB4f7aZBJnU2XZILZ8TsyDVVM.jpg
1081003,Supergirl,"When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice.",6.962,2026-06-23,"['Action', 'Adventure', 'Science Fiction']",/niSvU02l2BONH9ivubV6K1a5QiK.jpg
1219739,Heresy,"In a medieval Dutch village, a young woman is caught between her faith, fanatic townsfolk and the dark forces lurking in the woods.",6.2,2024-01-25,"['Drama', 'Horror', 'Mystery']",/gGStwXLjGe9WaodCCgeVwkDDwS3.jpg
1462591,Hot Line,"Malena, a woman who divides her life between two jobs: by night she's a dancer in a cabaret and by day she answers a ""Hot Line,"" an erotic telephone line. However, her routine turns into a nightmare when a serial killer begins calling her, recounting his crimes in chilling detail and announcing that she will be his next victim. This is a clear homage to the Italian Giallo.HoH",0.0,2025-10-28,['Horror'],/aKtKTCmHLoQc9JGr2TehyzL54Yq.jpg
1293550,Bandar,"TV star Samar's life spirals when his ex Gayatri accuses him of rape after he blocks contact with her. Despite his new relationship with Khushi, he faces arrest and encounters a corrupt justice system.",6.5,2026-06-05,['Thriller'],/3TrQUHmnEL2tOYf4KKkXb01BQt2.jpg
949536,Kill Code,"North America has been divided into four main quadrants. A power-hungry corporation has taken over the conventional prison system and made criminals the new law enforcers.  The owner of that corporation, nanoscientist Eion Prescott, created a nano-virus called Onyx. Which is distributed through deadly watches to criminals. First, infecting them. Then, forcing them into eliminating each other for freedom. Who can topple the corporation's entire system from within?",5.545,2026-04-16,"['Action', 'Thriller', 'Science Fiction']",/bXvSKLCillha6wxY0yxoRCM2WQl.jpg
1358005,Office Romance,"Jackie, President and CEO of Air Cruz, runs a tight ship in her business, including a rigid anti-fraternization policy for all her employees. When a new sexy lawyer begins working for her, that policy becomes very tested.",6.498,2026-06-04,"['Romance', 'Comedy']",/1HRUTqEVDmJC4L6tp6zd85MI6uH.jpg
